idx,Provinsi/Kabupaten/Kota,15-19,20-24,25-29,30-34,35-39,40-44,45-49
,ACEH,16.4,96.9,151.0,118.9,76.0,22.7,3.1
,SIMEULUE,44.3,115.7,165.9,115.3,78.2,21.1,0.8
,ACEH SINGKIL,30.8,129.6,198.2,150.4,65.3,30.2,4.5
,ACEH SELATAN,12.5,83.6,162.3,120.3,75.4,20.1,4.3
,ACEH TENGGARA,38.3,129.6,166.3,107.4,63.1,36.6,0.5
,ACEH TIMUR,14.3,103.8,141.9,118.1,83.2,17.7,3.0
,ACEH TENGAH,23.2,94.9,158.4,128.1,70.7,24.5,2.7
,ACEH BARAT,14.0,75.7,160.8,119.8,68.1,20.1,1.1
,ACEH BESAR,17.0,92.6,144.7,98.9,73.3,20.1,3.6
,PIDIE,11.4,92.3,145.7,115.3,78.2,23.9,2.7
,BIREUEN,10.6,96.1,148.6,120.5,78.2,33.3,1.4
,ACEH UTARA,16.9,97.7,143.0,111.3,70.1,20.0,4.6
,ACEH BARAT DAYA,17.0,94.4,135.7,118.8,82.6,22.2,3.9
,GAYO LUES,46.8,129.8,154.4,115.0,75.6,18.6,3.0
,ACEH TAMIANG,16.4,105.0,140.9,121.6,66.1,23.3,2.8
,NAGAN RAYA,27.4,85.1,143.9,109.2,66.2,29.8,6.5
,ACEH JAYA,17.4,113.7,151.7,141.4,87.0,34.0,8.2
,BENER MERIAH,16.4,88.3,146.5,143.9,87.3,29.9,3.6
,PIDIE JAYA,10.9,96.1,153.0,128.5,80.7,25.6,3.0
,KOTA BANDA ACEH,10.3,80.5,134.6,88.3,79.7,12.7,1.3
,KOTA SABANG,23.4,74.3,203.8,88.5,74.7,19.6,1.6
,KOTA LANGSA,13.6,115.3,123.3,109.6,66.2,16.7,2.3
,KOTA LHOKSEUMAWE,10.1,82.2,160.7,122.8,76.8,22.0,3.3
,KOTA SUBULUSSALAM,24.2,131.8,196.5,146.2,93.3,30.9,3.7
,SUMATERA UTARA,21.3,106.9,159.5,120.5,67.5,17.5,2.6
,NIAS,23.3,119.3,206.1,162.0,93.9,23.1,9.0
,MANDAILING NATAL,35.1,109.9,167.6,168.0,82.3,37.5,7.0
,TAPANULI SELATAN,24.4,120.2,163.9,115.8,101.1,25.9,3.7
,TAPANULI TENGAH,21.5,116.7,190.2,150.5,79.9,21.5,4.6
,TAPANULI UTARA,21.7,121.3,214.5,137.5,66.9,8.3,3.1
,TOBA SAMOSIR,19.3,113.1,183.6,160.4,89.2,25.4,3.0
,LABUHAN BATU,15.0,103.1,170.9,101.3,71.8,23.3,9.3
,ASAHAN,29.7,110.1,160.5,104.1,74.5,14.0,1.0
,SIMALUNGUN,13.4,104.9,158.1,137.6,60.1,13.2,3.2
,DAIRI,29.4,87.1,228.9,154.1,90.5,33.3,6.0
,KARO,46.0,102.1,173.8,91.4,43.3,10.5,2.0
,DELI SERDANG,19.6,97.5,146.8,114.0,56.1,17.1,4.1
,LANGKAT,32.8,130.4,133.6,112.6,55.5,16.4,8.6
,NIAS SELATAN,26.9,149.1,178.4,155.9,62.7,50.4,12.2
,HUMBANG HASUNDUTAN,13.8,99.7,193.6,188.2,99.2,33.6,6.6
,PAKPAK BHARAT,32.3,120.7,217.7,164.5,85.4,29.9,2.3
,SAMOSIR,14.1,100.9,178.6,170.2,98.9,26.8,6.7
,SERDANG BEDAGAI,34.5,113.1,155.6,111.5,52.9,15.8,1.2
,BATU BARA,22.9,118.7,157.0,114.6,68.0,25.4,2.8
,PADANG LAWAS UTARA,31.7,148.3,207.6,134.7,63.9,22.7,4.4
,PADANG LAWAS,43.2,162.7,179.0,152.7,60.4,31.2,8.7
,LABUHAN BATU SELATAN,44.6,153.5,141.5,124.6,61.2,21.4,4.3
,LABUHAN BATU UTARA,20.8,130.9,174.5,122.9,76.5,8.9,0.8
,NIAS UTARA,25.8,167.5,192.4,127.4,78.0,39.0,9.8
,NIAS BARAT,46.7,156.3,217.6,168.0,79.8,12.5,3.9
,KOTA SIBOLGA,18.7,84.0,146.6,122.0,71.6,14.4,0.9
,KOTA TANJUNG BALAI,25.2,90.5,153.7,121.0,58.0,25.1,0.6
,KOTA PEMATANGSIANTAR,11.6,68.0,159.3,113.3,53.9,19.0,1.6
,KOTA TEBING TINGGI,19.4,108.9,139.6,112.4,44.2,12.2,4.2
