id,Provinsi/Kabupaten/Kota,Angka Kelahiran Total,
,ACEH,2.42,
,SIMEULUE,2.71,
,ACEH SINGKIL,3.04,
,ACEH SELATAN,2.39,
,ACEH TENGGARA,2.71,
,ACEH TIMUR,2.41,
,ACEH TENGAH,2.51,
,ACEH BARAT,2.30,
,ACEH BESAR,2.25,
,PIDIE,2.35,
,BIREUEN,2.44,
,ACEH UTARA,2.32,
,ACEH BARAT DAYA,2.37,
,GAYO LUES,2.72,
,ACEH TAMIANG,2.38,
,NAGAN RAYA,2.34,
,ACEH JAYA,2.77,
,BENER MERIAH,2.58,
,PIDIE JAYA,2.49,
,KOTA BANDA ACEH,2.04,
,KOTA SABANG,2.43,
,KOTA LANGSA,2.23,
,KOTA LHOKSEUMAWE,2.39,
,KOTA SUBULUSSALAM,3.13,
,SUMATERA UTARA,2.48,
,NIAS,3.18,
,MANDAILING NATAL,3.04,
,TAPANULI SELATAN,2.77,
,TAPANULI TENGAH,2.92,
,TAPANULI UTARA,2.87,
,TOBA SAMOSIR,2.97,
,LABUHAN BATU,2.47,
,ASAHAN,2.47,
,SIMALUNGUN,2.45,
,DAIRI,3.15,
,KARO,2.35,
,DELI SERDANG,2.28,
,LANGKAT,2.45,
,NIAS SELATAN,3.18,
,HUMBANG HASUNDUTAN,3.17,
,PAKPAK BHARAT,3.26,
,SAMOSIR,2.98,
,SERDANG BEDAGAI,2.42,
,BATU BARA,2.55,
,PADANG LAWAS UTARA,3.07,
,PADANG LAWAS,3.19,
,LABUHAN BATU SELATAN,2.76,
,LABUHAN BATU UTARA,2.67,
,NIAS UTARA,3.20,
,NIAS BARAT,3.42,
,KOTA SIBOLGA,2.29,
,KOTA TANJUNG BALAI,2.37,
,KOTA PEMATANGSIANTAR,2.13,
,KOTA TEBING TINGGI,2.20,
,KOTA MEDAN,1.90,
,KOTA BINJAI,2.14,
,KOTA PADANG SIDEMPUAN,2.47,
,KOTA GUNUNGSITOLI,2.72,
,SUMATERA BARAT,2.46,
,KEPULAUAN MENTAWAI,2.80,
,PESISIR SELATAN,2.56,
,SOLOK,2.39,
,SIJUNJUNG,2.51,
,TANAH DATAR,2.41,
,PADANG PARIAMAN,2.54,
,AGAM,2.55,
,LIMA PULUH KOTA,2.45,
,PASAMAN,2.60,
,SOLOK SELATAN,2.60,
,DHARMASRAYA,2.40,
,PASAMAN BARAT,2.51,
,KOTA PADANG,2.27,
,KOTA SOLOK,2.45,
,KOTA SAWAH LUNTO,2.41,
,KOTA PADANG PANJANG,2.51,
,KOTA BUKITTINGGI,2.36,
,KOTA PAYAKUMBUH,2.40,
,KOTA PARIAMAN,2.43,
,RIAU,2.28,
,KUANTAN SINGINGI,2.27,
,INDRAGIRI HULU,2.24,
,INDRAGIRI HILIR,2.28,
,PELALAWAN,2.28,
,S I A K,2.31,
,KAMPAR,2.33,
,ROKAN HULU,2.27,
,BENGKALIS,2.62,
,ROKAN HILIR,2.33,
,KEPULAUAN MERANTI,2.22,
,KOTA PEKANBARU,2.09,
,KOTA D U M A I,2.19,
,JAMBI,2.28,
,KERINCI,2.20,
,MERANGIN,2.18,
,SAROLANGUN,2.64,
,BATANG HARI,2.27,
,MUARO JAMBI,2.19,
,TANJUNG JABUNG TIMUR,2.36,
,TANJUNG JABUNG BARAT,2.39,
,TEBO,2.45,
,BUNGO,2.23,
,KOTA JAMBI,2.08,
,KOTA SUNGAI PENUH,2.19,
,SUMATERA SELATAN,2.23,
,OGAN KOMERING ULU,2.31,
,OGAN KOMERING ILIR,2.28,
,MUARA ENIM,2.24,
,LAHAT,2.28,
,MUSI RAWAS,2.26,
,MUSI BANYUASIN,2.31,
,BANYU ASIN,2.23,
,OGAN KOMERING ULU SELATAN,2.27,
,OGAN KOMERING ULU TIMUR,2.20,
,OGAN ILIR,2.23,
,EMPAT LAWANG,2.34,
,PENUKAL ABAB LEMATANG ILIR,2.29,
,MUSI RAWAS UTARA,2.28,
